i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,0.99,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.7965135347028904,-235.28154437396623,12450,3.0248100546902166e-107,-99.9999999982239
3,1.0,0.95,0.95,0.99,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.4878821099131456,-6.617076522476369,1098,4.1158525298852195e-05,-63.910038625767676
3,1.0,0.95,0.95,0.99,14 days 00:00:00,True,0.8,-238.0780579086691,2.7965135347028904,-235.28154437396623,12450,3.4960527325200316e-133,-99.99999999999571
3,1.0,0.95,0.95,0.99,14 days 00:00:00,False,0.8,-8.104958632389515,1.4878821099131456,-6.617076522476369,1098,-2.030027905189097e-06,0
3,1.0,0.95,0.95,0.99,14 days 00:00:00,True,0.9,-238.0780579086691,2.7965135347028904,-235.28154437396623,12450,-1.151523329348877e-168,0
3,1.0,0.95,0.95,0.99,14 days 00:00:00,False,0.9,-8.104958632389515,1.4878821099131456,-6.617076522476369,1098,-7.99287468975374e-09,0
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.1,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,1.9766243939249158e-11,-91.68841266984077
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.1,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.4644561143749579,-7.447923056585259
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.2,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,3.297287362669284e-23,-99.46172413152085
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.2,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.18821306729943227,-15.512289353646802
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,3.1756799681856835e-36,-99.97385888633255
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.0646473090880785,-24.15027555421172
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.4,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,1.0585718691347941e-50,-99.99909591052372
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.4,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.018014664185120315,-33.32732155301249
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.5,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,5.89867872089334e-67,-99.99997930959252
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.5,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.0037848553373632616,-43.040915383992896
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.6,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,1.7689800447959824e-85,-99.99999972054
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.6,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,0.0005177489894896416,-53.40167730850669
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,3.184890033980179e-107,-99.99999999821463
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,2.9253481640666504e-05,-65.1324901384348
